size,tabu,genetic,cplex
10,226.000000:0.000140 252.000000:0.000089 226.000000:0.000114 226.000000:0.000086 226.000000:0.000112 226.000000:0.000110 252.000000:0.000116 252.000000:0.000113 226.000000:0.000086 252.000000:0.000136 ,226.000000:0.322973 226.000000:0.321036 226.000000:0.339470 226.000000:0.333364 226.000000:0.313130 226.000000:0.315916 226.000000:0.324930 226.000000:0.318531 226.000000:0.345650 226.000000:0.339476 ,226.000000:0.099793 226.000000:0.065139 226.000000:0.038598 226.000000:0.090194 226.000000:0.105169 226.000000:0.081294 226.000000:0.095488 226.000000:0.093123 226.000000:0.078910 226.000000:0.028125 
15,178.000000:0.000217 176.000000:0.000170 165.000000:0.000332 185.000000:0.000172 165.000000:0.000257 173.000000:0.000136 175.000000:0.000145 178.000000:0.000109 179.000000:0.000093 179.000000:0.000097 ,165.000000:0.408136 165.000000:0.551709 165.000000:0.454913 165.000000:0.562100 165.000000:0.572155 165.000000:0.417705 165.000000:0.414426 165.000000:0.598514 165.000000:0.444321 165.000000:0.473800 ,165.000000:0.067972 165.000000:0.064490 165.000000:0.062033 165.000000:0.081851 165.000000:0.061841 165.000000:0.064074 165.000000:0.059359 165.000000:0.067975 165.000000:0.059072 165.000000:0.067733 
20,272.000000:0.000920 283.000000:0.000925 284.000000:0.000234 284.000000:0.000130 336.000000:0.000118 314.000000:0.000140 276.000000:0.000917 309.000000:0.000191 275.000000:0.000934 276.000000:0.000943 ,272.000000:0.602001 272.000000:0.897806 272.000000:0.584765 275.000000:0.680338 272.000000:0.634480 275.000000:0.672450 275.000000:0.550818 272.000000:0.584022 272.000000:0.807842 275.000000:0.766752 ,272.000000:0.237384 272.000000:0.283514 272.000000:0.234656 272.000000:0.240978 272.000000:0.237032 272.000000:0.244472 272.000000:0.234361 272.000000:0.243898 272.000000:0.234661 272.000000:0.278267 
25,159.000000:0.000952 159.000000:0.000938 158.000000:0.000611 191.000000:0.000124 158.000000:0.001118 159.000000:0.001001 164.000000:0.001086 153.000000:0.001007 164.000000:0.001007 153.000000:0.001010 ,153.000000:1.592842 161.000000:1.225971 153.000000:1.596492 153.000000:2.014047 153.000000:1.245975 157.000000:0.971998 159.000000:0.924259 154.000000:0.922440 153.000000:1.101147 153.000000:1.101895 ,153.000000:0.878447 153.000000:0.893070 153.000000:0.878263 153.000000:1.038705 153.000000:0.900171 153.000000:0.889548 153.000000:0.880338 153.000000:0.865320 153.000000:0.886649 153.000000:0.892454 
30,216.000000:0.000773 220.000000:0.000719 204.000000:0.000744 219.000000:0.000700 219.000000:0.000725 214.000000:0.000770 229.000000:0.000730 232.000000:0.000695 221.000000:0.000709 214.000000:0.000701 ,204.000000:1.661236 201.000000:2.050664 204.000000:1.892542 201.000000:1.400088 212.000000:1.883343 205.000000:1.866169 207.000000:1.695902 215.000000:1.921883 206.000000:1.598330 201.000000:2.190054 ,201.000000:0.853608 201.000000:1.142913 201.000000:1.375324 201.000000:1.534190 201.000000:2.334977 201.000000:1.399423 201.000000:1.772313 201.000000:1.217947 201.000000:1.161602 201.000000:0.747293 
35,252.000000:0.001148 255.000000:0.001181 264.000000:0.000849 271.000000:0.000869 252.000000:0.000867 234.000000:0.000906 251.000000:0.000890 237.000000:0.000873 250.000000:0.001147 249.000000:0.001617 ,227.000000:3.111588 238.000000:4.375800 230.000000:3.441076 226.000000:3.352676 227.000000:3.411044 236.000000:2.715202 234.000000:2.748108 231.000000:2.382201 228.000000:3.446931 230.000000:3.090536 ,224.000000:3.123680 224.000000:2.440184 224.000000:2.443854 224.000000:2.462155 224.000000:2.420357 224.000000:2.495616 224.000000:2.660497 224.000000:3.093230 224.000000:2.708917 224.000000:2.853866 
40,280.000000:0.001419 280.000000:0.001084 271.000000:0.000931 269.000000:0.001011 289.000000:0.001339 272.000000:0.001081 283.000000:0.000986 269.000000:0.001129 274.000000:0.001123 288.000000:0.001097 ,267.000000:3.481600 269.000000:3.933955 255.000000:5.646950 261.000000:4.685885 255.000000:5.294251 270.000000:3.692175 254.000000:4.177152 268.000000:4.475657 253.000000:3.633050 266.000000:4.542065 ,251.000000:2.120668 251.000000:2.185430 251.000000:2.312023 251.000000:2.157759 251.000000:2.145566 251.000000:2.115802 251.000000:2.036704 251.000000:2.166238 251.000000:2.006021 251.000000:2.115214 
45,243.000000:0.001487 242.000000:0.001014 233.000000:0.001024 214.000000:0.001619 230.000000:0.001022 226.000000:0.001003 233.000000:0.001043 230.000000:0.001235 229.000000:0.001137 234.000000:0.001217 ,207.000000:5.508818 205.000000:4.825524 228.000000:4.279515 208.000000:7.486468 200.000000:7.054118 212.000000:5.707735 213.000000:7.006557 205.000000:6.383763 228.000000:3.444811 208.000000:5.936910 ,196.000000:2.588230 196.000000:2.912050 196.000000:2.507388 196.000000:2.486245 196.000000:4.057215 196.000000:3.310778 196.000000:2.921749 196.000000:2.656551 196.000000:3.656209 196.000000:3.186871 
50,277.000000:0.002213 249.000000:0.001709 264.000000:0.001252 255.000000:0.001220 243.000000:0.001241 263.000000:0.002075 284.000000:0.002359 255.000000:0.001736 246.000000:0.001540 265.000000:0.001334 ,268.000000:5.720794 246.000000:10.625743 268.000000:10.724047 259.000000:6.439275 244.000000:7.915562 277.000000:5.911648 253.000000:7.156074 241.000000:5.622917 253.000000:8.181757 243.000000:12.506395 ,228.000000:5.981515 228.000000:5.843020 228.000000:6.503323 228.000000:6.423649 228.000000:6.429240 228.000000:6.007110 228.000000:5.830291 228.000000:5.669092 228.000000:5.598691 228.000000:6.406259 
55,286.000000:0.001467 280.000000:0.001364 285.000000:0.001592 306.000000:0.001759 280.000000:0.001393 271.000000:0.001418 281.000000:0.001856 288.000000:0.002182 272.000000:0.002272 278.000000:0.002066 ,280.000000:7.268124 281.000000:7.200501 276.000000:12.713073 264.000000:11.990964 294.000000:5.309751 268.000000:8.446383 282.000000:7.772814 259.000000:14.063332 272.000000:10.913660 267.000000:9.117454 ,235.000000:3.735680 235.000000:3.882290 235.000000:3.991616 235.000000:3.304375 235.000000:2.759520 235.000000:3.304294 235.000000:3.734097 235.000000:2.907726 235.000000:2.937067 235.000000:3.055335 
60,254.000000:0.002218 272.000000:0.002110 268.000000:0.001743 283.000000:0.001529 258.000000:0.001680 252.000000:0.001500 311.000000:0.001638 273.000000:0.001442 285.000000:0.001562 274.000000:0.001500 ,261.000000:10.077526 257.000000:16.795695 265.000000:10.883513 268.000000:8.578024 251.000000:10.752492 246.000000:11.703664 246.000000:11.246657 259.000000:12.202230 266.000000:8.295665 245.000000:12.307973 ,211.000000:4.528340 211.000000:4.472411 211.000000:4.311557 211.000000:4.316410 211.000000:4.359266 211.000000:4.335865 211.000000:4.736576 211.000000:4.523323 211.000000:4.570826 211.000000:4.864437 
65,299.000000:0.002445 277.000000:0.001869 281.000000:0.002104 286.000000:0.002476 280.000000:0.002460 292.000000:0.002161 284.000000:0.001846 282.000000:0.002440 299.000000:0.002507 295.000000:0.002102 ,257.000000:19.274631 284.000000:13.658727 271.000000:13.530220 273.000000:10.926964 269.000000:12.447328 269.000000:13.804549 291.000000:10.170274 273.000000:18.250792 302.000000:11.548068 283.000000:9.655759 ,225.000000:9.420592 225.000000:9.075589 225.000000:9.207717 225.000000:9.124781 225.000000:11.040501 225.000000:9.680343 225.000000:10.249190 225.000000:9.365078 225.000000:9.217933 225.000000:9.046285 
70,286.000000:0.002138 283.000000:0.002050 299.000000:0.001920 272.000000:0.001896 349.000000:0.002419 290.000000:0.002496 276.000000:0.002543 318.000000:0.001920 313.000000:0.002126 303.000000:0.001858 ,277.000000:14.927847 249.000000:19.880665 273.000000:17.145637 249.000000:23.189647 280.000000:19.969841 242.000000:36.577275 278.000000:19.467113 293.000000:13.539625 255.000000:21.314544 277.000000:20.564642 ,216.000000:29.326844 216.000000:24.844221 216.000000:24.198177 216.000000:25.968742 216.000000:32.402970 216.000000:32.385914 216.000000:26.767022 216.000000:27.991496 216.000000:25.300489 216.000000:24.840551 
