tabu_obj,tabu_time,genetic_obj,genetic_time,cplex_obj,cplex_time
66.400000,0.000196,66.400000,0.303948,66.400000,0.055309,
72.000000,0.000162,66.400000,0.304297,66.400000,0.053940,
68.200000,0.000117,66.400000,0.303163,66.400000,0.056490,
66.400000,0.000089,66.400000,0.305159,66.400000,0.050347,
66.400000,0.000102,66.400000,0.307112,66.400000,0.050006,
66.400000,0.000145,66.400000,0.307141,66.400000,0.052615,
66.400000,0.000163,66.400000,0.303749,66.400000,0.056527,
66.400000,0.000130,66.400000,0.303438,66.400000,0.049501,
66.400000,0.000114,66.400000,0.310948,66.400000,0.049999,
66.400000,0.000168,66.400000,0.307113,66.400000,0.067102,
68.200000,0.000145,66.400000,0.301612,66.400000,0.064142,
66.400000,0.000138,66.400000,0.303358,66.400000,0.050921,
68.200000,0.000076,66.400000,0.307109,66.400000,0.051488,
66.400000,0.000106,66.400000,0.315948,66.400000,0.051885,
66.400000,0.000073,66.400000,0.305877,66.400000,0.069215,
66.400000,0.000094,66.400000,0.312192,66.400000,0.074287,
72.000000,0.000100,66.400000,0.313488,66.400000,0.050626,
68.200000,0.000135,66.400000,0.310182,66.400000,0.071210,
66.400000,0.000149,66.400000,0.342491,66.400000,0.160086,
68.200000,0.000109,66.400000,0.329615,66.400000,0.052216,
66.400000,0.000086,66.400000,0.313306,66.400000,0.055486,
68.200000,0.000144,66.400000,0.309027,66.400000,0.054957,
72.000000,0.000098,66.400000,0.312065,66.400000,0.050140,
66.400000,0.000115,66.400000,0.306160,66.400000,0.053233,
68.200000,0.000164,66.400000,0.305144,66.400000,0.057583,
68.200000,0.000129,66.400000,0.305174,66.400000,0.050249,
66.400000,0.000107,66.400000,0.304800,66.400000,0.050431,
68.200000,0.000161,66.400000,0.310212,66.400000,0.056494,
68.200000,0.000077,66.400000,0.306595,66.400000,0.057254,
66.400000,0.000095,66.400000,0.305580,66.400000,0.051158,
68.200000,0.000106,66.400000,0.314305,66.400000,0.050650,
68.200000,0.000089,66.400000,0.312148,66.400000,0.054559,
68.200000,0.000105,66.400000,0.331807,66.400000,0.057662,
68.200000,0.000100,66.400000,0.313759,66.400000,0.055078,
66.400000,0.000149,66.400000,0.312752,66.400000,0.049567,
68.200000,0.000141,66.400000,0.307090,66.400000,0.054139,
66.400000,0.000098,66.400000,0.304549,66.400000,0.057621,
66.400000,0.000119,66.400000,0.304997,66.400000,0.049947,
66.400000,0.000128,66.400000,0.307240,66.400000,0.051087,
66.400000,0.000095,66.400000,0.304983,66.400000,0.053310,
66.400000,0.000116,66.400000,0.299411,66.400000,0.058460,
68.200000,0.000098,66.400000,0.302540,66.400000,0.050224,
72.000000,0.000094,66.400000,0.308647,66.400000,0.050039,
66.400000,0.000142,66.400000,0.307366,66.400000,0.053117,
66.400000,0.000079,66.400000,0.304950,66.400000,0.057960,
66.400000,0.000098,66.400000,0.302644,66.400000,0.050132,
68.200000,0.000118,66.400000,0.304003,66.400000,0.050171,
68.200000,0.000087,66.400000,0.308881,66.400000,0.059896,
72.000000,0.000104,66.400000,0.299237,66.400000,0.054641,
66.400000,0.000105,66.400000,0.308734,66.400000,0.050225,
66.400000,0.000099,66.400000,0.306557,66.400000,0.054601,
68.200000,0.000128,66.400000,0.301977,66.400000,0.061666,
68.200000,0.000068,66.400000,0.305727,66.400000,0.053366,
68.200000,0.000075,66.400000,0.310156,66.400000,0.049870,
66.400000,0.000129,66.400000,0.305745,66.400000,0.053511,
68.200000,0.000114,66.400000,0.303134,66.400000,0.061126,
66.400000,0.000105,66.400000,0.306756,66.400000,0.053013,
68.200000,0.000174,66.400000,0.307384,66.400000,0.050023,
68.200000,0.000116,66.400000,0.303187,66.400000,0.052931,
72.000000,0.000092,66.400000,0.304518,66.400000,0.061068,
68.200000,0.000107,66.400000,0.306500,66.400000,0.052875,
68.200000,0.000102,66.400000,0.312243,66.400000,0.050674,
66.400000,0.000142,66.400000,0.308564,66.400000,0.054348,
66.400000,0.000153,66.400000,0.302583,66.400000,0.056340,
72.000000,0.000176,66.400000,0.306872,66.400000,0.051311,
66.400000,0.000096,66.400000,0.309199,66.400000,0.049622,
68.200000,0.000131,66.400000,0.307293,66.400000,0.060442,
72.000000,0.000229,66.400000,0.309916,66.400000,0.053230,
72.000000,0.000143,66.400000,0.310003,66.400000,0.056249,
66.400000,0.000163,66.400000,0.303082,66.400000,0.049531,
68.200000,0.000107,66.400000,0.307024,66.400000,0.054711,
66.400000,0.000118,66.400000,0.304671,66.400000,0.053478,
68.200000,0.000130,66.400000,0.304700,66.400000,0.051077,
68.200000,0.000084,66.400000,0.306203,66.400000,0.049779,
72.000000,0.000083,66.400000,0.304931,66.400000,0.054795,
66.400000,0.000070,66.400000,0.303314,66.400000,0.056430,
66.400000,0.000134,66.400000,0.302099,66.400000,0.049521,
66.400000,0.000140,66.400000,0.308900,66.400000,0.050343,
66.400000,0.000125,66.400000,0.310855,66.400000,0.053249,
68.200000,0.000103,66.400000,0.303917,66.400000,0.054952,
72.000000,0.000130,66.400000,0.302870,66.400000,0.052294,
68.200000,0.000101,66.400000,0.305430,66.400000,0.049614,
68.200000,0.000092,66.400000,0.310277,66.400000,0.054685,
66.400000,0.000115,66.400000,0.300681,66.400000,0.057668,
72.000000,0.000101,66.400000,0.307422,66.400000,0.051303,
68.200000,0.000146,66.400000,0.302499,66.400000,0.050505,
68.200000,0.000133,66.400000,0.301916,66.400000,0.054998,
66.400000,0.000099,66.400000,0.301784,66.400000,0.059630,
66.400000,0.000075,66.400000,0.303656,66.400000,0.049900,
66.400000,0.000143,66.400000,0.304884,66.400000,0.053126,
66.400000,0.000083,66.400000,0.303253,66.400000,0.061004,
66.400000,0.000091,66.400000,0.307005,66.400000,0.054437,
66.400000,0.000135,66.400000,0.310220,66.400000,0.049730,
66.400000,0.000119,66.400000,0.307692,66.400000,0.054602,
68.200000,0.000138,66.400000,0.304140,66.400000,0.060199,
66.400000,0.000073,66.400000,0.302430,66.400000,0.050597,
66.400000,0.000115,66.400000,0.309793,66.400000,0.049460,
66.400000,0.000087,66.400000,0.306104,66.400000,0.052582,
72.000000,0.000108,66.400000,0.300693,66.400000,0.056180,
66.400000,0.000113,66.400000,0.306059,66.400000,0.089402,
